idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
269,2.0,8.0,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,456.324
270,4.0,9.0,not relevant,low,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,34.512
271,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,13.297
272,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,14.961
273,4.0,10.0,not relevant,high,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,16549.416
274,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,1466.573
275,2.0,8.0,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,268.398
276,4.0,10.0,low,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,31.466
277,3.0,9.0,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,38.803
278,3.0,8.0,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,70.27
279,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,19.64
280,3.0,7.0,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,29.046
281,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,12.145
282,3.0,8.0,not relevant,medium,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,34.508
283,4.0,9.0,not relevant,medium,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,34.132
284,2.0,3.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,low,not relevant,47.946
285,3.0,9.0,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,48.915
286,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,medium,not relevant,not relevant,not relevant,30.778
287,4.0,8.0,not relevant,low,not relevant,high,low,not relevant,not relevant,not relevant,high,68.174
288,4.0,5.0,not relevant,low,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,31.684
289,4.0,7.0,not relevant,not relevant,not relevant,low,high,not relevant,not relevant,not relevant,low,53.115
290,4.0,8.0,not relevant,high,not relevant,low,medium,not relevant,not relevant,not relevant,medium,62.96
291,4.0,9.0,not relevant,high,not relevant,not relevant,not relevant,not relevant,medium,not relevant,high,28.959
292,4.0,9.0,not relevant,not relevant,not relevant,high,not relevant,not relevant,medium,not relevant,high,30.522
293,4.0,8.0,not relevant,not relevant,not relevant,low,not relevant,not relevant,not relevant,not relevant,not relevant,33.389
294,3.0,9.0,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,high,35.92
295,4.0,10.0,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,16.258
296,4.0,7.0,not relevant,not relevant,not relevant,low,not relevant,low,high,not relevant,not relevant,71.389
297,4.0,8.0,not relevant,not relevant,not relevant,high,low,low,not relevant,not relevant,not relevant,62.639
