idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
216,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,476.896
217,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,10.711
218,2,7,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,10.007
219,3,9,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,21.872
220,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,14.661
221,3,8,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,41.249
222,4,10,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,21.758
223,2,6,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,16.243
224,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,10.272
225,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,5.168
226,4,9,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,medium,not relevant,24.723
227,4,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,medium,not relevant,not relevant,14.709
228,4,10,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,17.795
229,3,8,not relevant,not relevant,medium,high,not relevant,medium,not relevant,not relevant,not relevant,35.896
230,3,8,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,11.589
231,4,10,not relevant,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,16.628
232,3,9,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,19.669
233,2,5,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,20.523
234,3,7,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,15.961
235,4,9,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,19.172
236,4,9,not relevant,not relevant,not relevant,high,not relevant,medium,not relevant,not relevant,not relevant,18.057
237,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,8.742
238,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,19.152
239,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,6.786
240,4,6,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,low,not relevant,18.525
241,4,8,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,27.602
242,4,9,not relevant,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,26.161
243,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,medium,392.304
244,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,38.831
245,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,23.937
246,3,8,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,20.196
247,4,9,not relevant,not relevant,not relevant,not relevant,low,not relevant,high,not relevant,not relevant,18.918
248,3,9,medium,not relevant,not relevant,not relevant,not relevant,high,high,not relevant,medium,29.452
249,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,7.153
250,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,11.515
251,4,9,medium,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,19.505
252,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,16.372
253,3,8,not relevant,medium,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,36.312
254,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,medium,not relevant,not relevant,20.223
255,4,9,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,medium,not relevant,28.951
256,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,27.532
257,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,5.953
258,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,medium,not relevant,44.909
259,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,medium,not relevant,not relevant,22.439
260,4,10,not relevant,not relevant,not relevant,not relevant,high,not relevant,high,not relevant,not relevant,11.918
261,3,8,not relevant,medium,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,22.306
262,4,10,not relevant,not relevant,not relevant,not relevant,medium,not relevant,high,not relevant,not relevant,10.998
263,3,7,medium,not relevant,not relevant,not relevant,not relevant,not relevant,high,medium,not relevant,33.928
264,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,medium,not relevant,25.712
